shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_M1_0,-6.1918519,106.8229594,0,0.0
shape_M1_0,-6.1933588,106.8229659,1,166.66266508500928
shape_M1_0,-6.1941739,106.8229844,2,256.83488551433754
shape_M1_0,-6.1954334,106.8230253,3,396.20744645840705
shape_M1_0,-6.1955924,106.8230295,4,413.79877856373344
shape_M1_0,-6.1958159,106.823094,5,439.52789098474074
shape_M1_0,-6.1959949,106.8231554,6,460.45906662220256
shape_M1_0,-6.1972397,106.8231768,7,598.1526814599671
shape_M1_0,-6.1980175,106.8231896,8,684.1880065738812
shape_M1_0,-6.1984637,106.8231881,9,733.5374215053073
shape_M1_0,-6.19895,106.8231464,10,787.5192453221186
shape_M1_0,-6.2002074,106.82294,11,928.449995319302
shape_M1_0,-6.2008018,106.8228278,12,995.3525663760181
shape_M1_0,-6.2021061,106.8225966,13,1141.858630551398
shape_M1_0,-6.2029376,106.8224826,14,1234.683020325794
shape_M1_0,-6.203603,106.8224168,15,1308.6348688607754
shape_M1_0,-6.2036189,106.8223268,16,1318.7503987091834
shape_M1_0,-6.2046799,106.8222849,17,1436.1871834038002
shape_M1_0,-6.2052165,106.8222389,18,1495.7524216099307
shape_M1_0,-6.2058277,106.8221804,19,1563.6597200699234
shape_M1_0,-6.2065859,106.8220916,20,1648.0896577260796
shape_M1_0,-6.20726,106.822027,21,1722.9862892974065
shape_M1_0,-6.2076998,106.821969,22,1772.049371245183
shape_M1_0,-6.2083579,106.8218389,23,1846.245098179335
shape_M1_0,-6.2087904,106.8217268,24,1895.6619884790643
shape_M1_0,-6.2090486,106.8216409,25,1925.7596984982504
shape_M1_0,-6.2095371,106.8214345,26,1984.418440453614
shape_M1_0,-6.210184,106.82113,27,2063.5053257574345
shape_M1_0,-6.2115757,106.8204227,28,2236.189891274676
shape_M1_0,-6.2125762,106.8198886,29,2361.6444910263735
shape_M1_0,-6.2131835,106.8195137,30,2440.594623928058
shape_M1_0,-6.21382,106.8190472,31,2527.8959997598167
shape_M1_0,-6.2141545,106.8187608,32,2576.6143063939653
shape_M1_0,-6.2145132,106.8184151,33,2631.7310181668336
shape_M1_0,-6.2149854,106.8179059,34,2708.5665949946265
shape_M1_0,-6.2158453,106.8168173,35,2862.0650707600703
shape_M1_0,-6.2165262,106.8159581,36,2983.368063858216
shape_M1_0,-6.2171645,106.8151451,37,3097.738420943736
shape_M1_0,-6.2176929,106.814502,38,3189.834030570186
shape_M1_0,-6.2177948,106.8145633,39,3202.988645765653
shape_M1_0,-6.2186186,106.8135192,40,3350.146643868358
shape_M1_0,-6.2200197,106.811756,41,3599.337055932969
shape_M1_0,-6.2210342,106.8104613,42,3781.3344551716477
shape_M1_0,-6.2216295,106.809718,43,3886.7039769624967
shape_M1_0,-6.2224417,106.8086648,44,4033.8665742197363
shape_M1_0,-6.2241208,106.806058,45,4376.9816278218705
shape_M1_0,-6.2251923,106.8046475,46,4572.9771811193095
shape_M1_0,-6.2263787,106.802998,47,4797.801558721016
shape_M1_0,-6.2267836,106.8025236,48,4866.809856879955
shape_M1_0,-6.2281248,106.8006992,49,5117.357672284411
shape_M1_0,-6.2287471,106.7999633,50,5223.990114570991
shape_M1_0,-6.2289518,106.7997449,51,5257.108282736384
shape_M1_0,-6.2291413,106.7995858,52,5284.481831713844
shape_M1_0,-6.2293868,106.7994126,53,5317.71841161444
shape_M1_0,-6.229753,106.799172,54,5366.189050195024
shape_M1_0,-6.2300402,106.7990153,55,5402.3788749730065
shape_M1_0,-6.2304281,106.7988511,56,5448.969980040126
shape_M1_0,-6.2308629,106.7987036,57,5499.753112318721
shape_M1_0,-6.2313031,106.7985941,58,5549.923771503425
shape_M1_0,-6.2317614,106.7985177,59,5601.310979836602
shape_M1_0,-6.2322045,106.7984892,60,5650.418062414585
shape_M1_0,-6.2330242,106.7984838,61,5741.076661170919
shape_M1_0,-6.2336668,106.7984838,62,5812.146505146436
shape_M1_0,-6.2352631,106.7984807,63,5988.69336265703
shape_M1_0,-6.2366177,106.7984725,64,6138.5112674376005
shape_M1_0,-6.2366204,106.7984322,65,6142.981455349231
shape_M1_0,-6.2379225,106.7984312,66,6286.990296939453
shape_M1_0,-6.2387703,106.7984239,67,6380.758207623594
shape_M1_0,-6.239893,106.7984195,68,6504.926806957695
shape_M1_0,-6.2417164,106.7984287,69,6706.592595674192
shape_M1_0,-6.2420328,106.7983916,70,6741.825671167898
shape_M1_0,-6.2422554,106.7983404,71,6767.0883512234805
shape_M1_0,-6.2426824,106.7982092,72,6816.4953264913165
shape_M1_0,-6.2430451,106.7981468,73,6857.1991218349485
shape_M1_0,-6.2432226,106.7981311,74,6876.906898935126
shape_M1_0,-6.2434484,106.7981295,75,6901.880407917348
shape_M1_0,-6.2435848,106.7981264,76,6916.969787174296
shape_M1_0,-6.243825,106.7981231,77,6943.537780861237
shape_M1_0,-6.2444225,106.7981203,78,7009.620424445471
