trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
WD_T002,05:06:00,05:06:30,bundaran_hi,1,0,1,1,1.4058811377004676
WD_T002,05:09:00,05:09:30,dukuh_atas,2,0,0,1,995.4577435400421
WD_T002,05:11:00,05:11:30,setiabudi,3,0,0,1,1925.585608070995
WD_T002,05:13:00,05:13:30,bendungan_hilir,4,0,0,1,2708.1908484683586
WD_T002,05:15:00,05:15:30,istora,5,0,0,1,4034.671338315422
WD_T002,05:17:00,05:17:30,senayan,6,0,0,1,4865.839074432736
WD_T002,05:19:00,05:19:30,asean,7,0,0,1,6381.124772831021
WD_T002,05:22:00,05:22:30,blok_m,8,0,0,1,7014.236917612059
WD_T002,05:24:00,05:24:30,blok_a,9,0,0,1,8271.782376632145
WD_T002,05:27:00,05:27:30,haji_nawi,10,0,0,1,9494.129585018469
WD_T002,05:29:00,05:29:30,cipete_raya,11,0,0,1,10791.018360278216
WD_T002,05:32:00,05:32:30,fatmawati,12,0,0,1,12603.508292771303
WD_T002,05:35:00,05:35:00,lebak_bulus,13,1,0,1,14615.805786616962
WD_T003,05:21:00,05:21:30,bundaran_hi,1,0,1,1,1.4058811377004676
WD_T003,05:24:00,05:24:30,dukuh_atas,2,0,0,1,995.4577435400421
WD_T003,05:26:00,05:26:30,setiabudi,3,0,0,1,1925.585608070995
WD_T003,05:28:00,05:28:30,bendungan_hilir,4,0,0,1,2708.1908484683586
WD_T003,05:30:00,05:30:30,istora,5,0,0,1,4034.671338315422
WD_T003,05:32:00,05:32:30,senayan,6,0,0,1,4865.839074432736
WD_T003,05:34:00,05:34:30,asean,7,0,0,1,6381.124772831021
WD_T003,05:37:00,05:37:30,blok_m,8,0,0,1,7014.236917612059
WD_T003,05:39:00,05:39:30,blok_a,9,0,0,1,8271.782376632145
WD_T003,05:42:00,05:42:30,haji_nawi,10,0,0,1,9494.129585018469
WD_T003,05:44:00,05:44:30,cipete_raya,11,0,0,1,10791.018360278216
WD_T003,05:47:00,05:47:30,fatmawati,12,0,0,1,12603.508292771303
WD_T003,05:50:00,05:50:00,lebak_bulus,13,1,0,1,14615.805786616962
WD_T004,05:33:00,05:33:30,bundaran_hi,1,0,1,1,1.4058811377004676
WD_T004,05:36:00,05:36:30,dukuh_atas,2,0,0,1,995.4577435400421
WD_T004,05:38:00,05:38:30,setiabudi,3,0,0,1,1925.585608070995
WD_T004,05:40:00,05:40:30,bendungan_hilir,4,0,0,1,2708.1908484683586
WD_T004,05:42:00,05:42:30,istora,5,0,0,1,4034.671338315422
WD_T004,05:44:00,05:44:30,senayan,6,0,0,1,4865.839074432736
WD_T004,05:46:00,05:46:30,asean,7,0,0,1,6381.124772831021
WD_T004,05:49:00,05:49:30,blok_m,8,0,0,1,7014.236917612059
WD_T004,05:51:00,05:51:30,blok_a,9,0,0,1,8271.782376632145
WD_T004,05:54:00,05:54:30,haji_nawi,10,0,0,1,9494.129585018469
WD_T004,05:56:00,05:56:30,cipete_raya,11,0,0,1,10791.018360278216
WD_T004,05:59:00,05:59:30,fatmawati,12,0,0,1,12603.508292771303
WD_T004,06:02:00,06:02:00,lebak_bulus,13,1,0,1,14615.805786616962
WD_T005,05:45:00,05:45:30,bundaran_hi,1,0,1,1,1.4058811377004676
WD_T005,05:48:00,05:48:30,dukuh_atas,2,0,0,1,995.4577435400421
WD_T005,05:50:00,05:50:30,setiabudi,3,0,0,1,1925.585608070995
WD_T005,05:52:00,05:52:30,bendungan_hilir,4,0,0,1,2708.1908484683586
WD_T005,05:54:00,05:54:30,istora,5,0,0,1,4034.671338315422
WD_T005,05:56:00,05:56:30,senayan,6,0,0,1,4865.839074432736
WD_T005,05:58:00,05:58:30,asean,7,0,0,1,6381.124772831021
WD_T005,06:01:00,06:01:30,blok_m,8,0,0,1,7014.236917612059
