trip_id,start_time,end_time,headway_secs,exact_times
BW1-L02,10:00:00,17:00:00,52700,0
BW2-L02,10:00:00,17:00:00,52700,0
BW4-L01,10:00:00,17:00:00,52700,0
1H-L02,05:00:00,22:00:00,3600,0
1H-R02,05:00:00,22:00:00,3600,0
12-L01,00:00:00,23:59:59,3600,0
13-L03,00:00:00,23:59:59,3600,0
2Q-R01,05:00:00,22:00:00,3600,0
2Q-R02,05:00:00,22:00:00,3600,0
3-L02,00:00:00,23:59:59,3600,0
6D-R04,05:00:00,22:00:00,3600,0
7B-L06,05:00:00,22:00:00,3600,0
8A-R07,05:00:00,22:00:00,3600,0
8-L08,00:00:00,23:59:59,3600,0
9F-R01,05:00:00,22:00:00,3600,0
9-P23,00:00:00,23:59:59,3600,0
1K-R01,05:00:00,21:00:00,1500,0
1K-R02,05:00:00,21:00:00,1500,0
1T-R04,05:00:00,21:00:00,3600,0
1T-R03,05:00:00,21:00:00,900,0
6P-R01,05:00:00,21:00:00,2500,0
9F-R02,05:00:00,22:00:00,3600,0
13-L05,00:00:00,23:59:59,3600,0
B11-L10,05:00:00,22:00:00,3600,0
S22-R05,05:00:00,22:00:00,3600,0
6A-L04,05:00:00,22:00:00,3600,0
S11-R05,05:00:00,22:00:00,3600,0
11Q-R05,05:00:00,22:00:00,3600,0
6B-L04,05:00:00,22:00:00,3600,0
T11-R10,05:00:00,22:00:00,3600,0
S11-R07,05:00:00,06:00:00,3600,0
3C-L02,05:00:00,22:00:00,3600,0
3D-R04,05:00:00,22:00:00,3600,0
3D-R03,05:00:00,06:00:00,3600,0
10-P21,00:00:00,23:59:59,3600,0
9F-L01,05:00:00,22:00:00,3600,0
12A-R03,05:00:00,22:00:00,3600,0
12A-L02,05:00:00,22:00:00,3600,0
9-P24,00:00:00,23:59:59,3600,0
12H-L02,05:00:00,22:00:00,3600,0
1A-L03,05:00:00,22:00:00,3600,0
10H-R09,05:00:00,07:00:00,3600,0
1P-R04,05:00:00,22:00:00,3600,0
4-P22,00:00:00,23:59:59,3600,0
9C-R02,05:00:00,22:00:00,3600,0
8-L05,00:00:00,23:59:59,3600,0
7Q-L01,05:00:00,22:00:00,3600,0
12-P03,00:00:00,23:59:59,3600,0
1N-P22,05:00:00,22:00:00,3600,0
12F-L02,05:00:00,22:00:00,3600,0
S22-T01,05:00:00,22:00:00,3600,0
6P-R02,05:00:00,21:00:00,2500,0
B13-R01,06:00:00,09:00:00,2770,0
4-P24,00:00:00,23:59:59,3600,0
5M-L03,05:00:00,22:00:00,3600,0
5M-L05,05:00:00,22:00:00,3600,0
5M-L06,05:00:00,22:00:00,3600,0
5M-P21,05:00:00,22:00:00,3600,0
9E-P21,05:00:00,22:00:00,3600,0
B13-R02,16:00:00,19:15:00,2770,0
B14-R01,06:00:00,09:00:00,2400,0
11M-L02,05:00:00,22:00:00,3600,0
12-R03,00:00:00,23:59:59,3600,0
8-L07,00:00:00,23:59:59,3600,0
7U-R01,05:00:00,06:00:00,3600,0
11R-L01,05:00:00,22:00:00,3600,0
9D-P23,05:00:00,22:00:00,3600,0
1-P33,00:00:00,23:59:59,3400,0
T11-R11,05:00:00,06:00:00,3300,0
T11-P05,05:00:00,22:00:00,2800,0
B14-R02,16:00:00,19:00:00,2400,0
D31-L02,16:00:00,18:25:00,1500,0
D11-R12,05:00:00,22:00:00,2760,0
D31-L03,05:55:00,07:55:00,900,0
D32-R01,05:55:00,07:55:00,3600,0
13-L10,00:00:00,23:59:59,2700,0
D32-R02,16:00:00,18:25:00,3600,0
8A-L05,05:00:00,22:00:00,2400,0
S12-R05,05:30:00,07:40:00,2700,0
S12-R06,17:00:00,19:40:00,2700,0
12-R04,00:00:00,23:59:59,2300,0
10A-L02,05:00:00,22:00:00,2180,0
T12-R04,05:00:00,22:00:00,2057,0
12C-R01,05:00:00,22:00:00,1860,0
12C-R02,05:00:00,22:00:00,1860,0
1-P37,00:00:00,23:59:59,1800,0
5-P21,00:00:00,23:59:59,1800,0
13-P05,08:00:00,11:00:00,1800,0
1H-R01,05:00:00,22:00:00,1800,0
3H-R06,05:00:00,22:00:00,1800,0
7R-R01,05:00:00,06:00:00,1800,0
2P-L04,05:00:00,22:00:00,1800,0
7T-R01,05:00:00,06:00:00,1800,0
9D-P24,05:00:00,22:00:00,1800,0
7F-L02,05:00:00,09:30:00,1700,0
7Q-L02,05:00:00,22:00:00,1600,0
4B-R03,05:00:00,22:00:00,1500,0
14B-R01,05:00:00,22:00:00,1500,0
7W-L03,05:00:00,22:00:00,1500,0
3D-L03,05:00:00,22:00:00,1500,0
12P-R01,05:00:00,22:00:00,1500,0
7E-R01,05:00:00,22:00:00,1490,0
7E-R05,05:00:00,22:00:00,1490,0
8E-R03,05:00:00,22:00:00,1400,0
4B-R04,05:00:00,22:00:00,1400,0
10H-L04,05:00:00,22:00:00,1400,0
12P-L01,05:00:00,22:00:00,1380,0
11C-L03,05:00:00,22:00:00,1380,0
3E-R06,05:00:00,22:00:00,1380,0
3E-R07,05:00:00,22:00:00,1380,0
T11-L12,05:00:00,09:00:00,1300,0
7Q-P01,05:00:00,06:00:00,1300,0
4K-R08,05:00:00,06:00:00,1300,0
B11-R11,05:00:00,22:00:00,1280,0
10-P23,00:00:00,23:59:59,1200,0
1-P36,00:00:00,23:59:59,1200,0
6-L05,00:00:00,23:59:59,1200,0
10A-R01,05:00:00,22:00:00,1200,0
10B-R01,05:00:00,22:00:00,1200,0
10B-R02,05:00:00,22:00:00,1200,0
10H-L05,05:00:00,22:00:00,1200,0
11B-R03,05:00:00,22:00:00,1200,0
11B-R04,05:00:00,22:00:00,1200,0
11P-R01,05:00:00,22:00:00,1200,0
11P-R02,05:00:00,22:00:00,1200,0
13E-L01,05:00:00,22:00:00,1200,0
