trip_id,arrival_time,departure_time,stop_id,stop_sequence
KRL00001,04:05:00,04:05:30,JKT,1
KRL00001,04:07:00,04:07:30,JAY,2
KRL00001,04:09:00,04:09:30,MGB,3
KRL00001,04:11:00,04:11:30,SWB,4
KRL00001,04:13:00,04:13:30,JUD,5
KRL00001,04:15:30,04:16:00,GDG,6
KRL00001,04:18:00,04:18:30,CKN,7
KRL00001,04:20:30,04:21:00,MRI,8
KRL00001,04:22:30,04:23:00,TBT,9
KRL00001,04:25:00,04:25:30,CAW,10
KRL00001,04:28:30,04:29:00,PSM,11
KRL00001,04:30:30,04:31:00,PSMB,12
KRL00001,04:32:30,04:33:00,TJB,13
KRL00001,04:34:30,04:35:00,LTA,14
KRL00001,04:36:30,04:37:00,UPM,15
KRL00001,04:39:00,04:39:30,UI,16
KRL00001,04:41:30,04:42:00,PCN,17
KRL00001,04:43:30,04:44:00,DPB,18
KRL00001,04:45:30,04:46:00,DPK,19
KRL00001,04:47:30,04:48:00,CTY,20
KRL00001,04:49:30,04:50:00,BJG,21
KRL00001,04:51:30,04:52:00,CLB,22
KRL00001,04:54:00,04:54:30,BGR,23
KRL00002,04:15:00,04:15:30,JKT,1
KRL00002,04:17:00,04:17:30,JAY,2
KRL00002,04:19:00,04:19:30,MGB,3
KRL00002,04:21:00,04:21:30,SWB,4
KRL00002,04:23:00,04:23:30,JUD,5
KRL00002,04:25:30,04:26:00,GDG,6
KRL00002,04:28:00,04:28:30,CKN,7
KRL00002,04:30:30,04:31:00,MRI,8
KRL00002,04:32:30,04:33:00,TBT,9
KRL00002,04:35:00,04:35:30,CAW,10
KRL00002,04:38:30,04:39:00,PSM,11
KRL00002,04:40:30,04:41:00,PSMB,12
KRL00002,04:42:30,04:43:00,TJB,13
KRL00002,04:44:30,04:45:00,LTA,14
KRL00002,04:46:30,04:47:00,UPM,15
KRL00002,04:49:00,04:49:30,UI,16
KRL00002,04:51:30,04:52:00,PCN,17
KRL00002,04:53:30,04:54:00,DPB,18
KRL00002,04:55:30,04:56:00,DPK,19
KRL00002,04:57:30,04:58:00,CTY,20
KRL00002,04:59:30,05:00:00,BJG,21
KRL00002,05:01:30,05:02:00,CLB,22
KRL00002,05:04:00,05:04:30,BGR,23
KRL00003,04:25:00,04:25:30,JKT,1
KRL00003,04:27:00,04:27:30,JAY,2
KRL00003,04:29:00,04:29:30,MGB,3
KRL00003,04:31:00,04:31:30,SWB,4
KRL00003,04:33:00,04:33:30,JUD,5
KRL00003,04:35:30,04:36:00,GDG,6
KRL00003,04:38:00,04:38:30,CKN,7
KRL00003,04:40:30,04:41:00,MRI,8
KRL00003,04:42:30,04:43:00,TBT,9
KRL00003,04:45:00,04:45:30,CAW,10
KRL00003,04:48:30,04:49:00,PSM,11
KRL00003,04:50:30,04:51:00,PSMB,12
KRL00003,04:52:30,04:53:00,TJB,13
KRL00003,04:54:30,04:55:00,LTA,14
KRL00003,04:56:30,04:57:00,UPM,15
KRL00003,04:59:00,04:59:30,UI,16
KRL00003,05:01:30,05:02:00,PCN,17
KRL00003,05:03:30,05:04:00,DPB,18
KRL00003,05:05:30,05:06:00,DPK,19
KRL00003,05:07:30,05:08:00,CTY,20
KRL00003,05:09:30,05:10:00,BJG,21
KRL00003,05:11:30,05:12:00,CLB,22
KRL00003,05:14:00,05:14:30,BGR,23
KRL00004,04:35:00,04:35:30,JKT,1
KRL00004,04:37:00,04:37:30,JAY,2
KRL00004,04:39:00,04:39:30,MGB,3
KRL00004,04:41:00,04:41:30,SWB,4
KRL00004,04:43:00,04:43:30,JUD,5
KRL00004,04:45:30,04:46:00,GDG,6
KRL00004,04:48:00,04:48:30,CKN,7
KRL00004,04:50:30,04:51:00,MRI,8
KRL00004,04:52:30,04:53:00,TBT,9
KRL00004,04:55:00,04:55:30,CAW,10
KRL00004,04:58:30,04:59:00,PSM,11
KRL00004,05:00:30,05:01:00,PSMB,12
KRL00004,05:02:30,05:03:00,TJB,13
KRL00004,05:04:30,05:05:00,LTA,14
KRL00004,05:06:30,05:07:00,UPM,15
KRL00004,05:09:00,05:09:30,UI,16
KRL00004,05:11:30,05:12:00,PCN,17
KRL00004,05:13:30,05:14:00,DPB,18
KRL00004,05:15:30,05:16:00,DPK,19
KRL00004,05:17:30,05:18:00,CTY,20
KRL00004,05:19:30,05:20:00,BJG,21
KRL00004,05:21:30,05:22:00,CLB,22
KRL00004,05:24:00,05:24:30,BGR,23
KRL00005,04:45:00,04:45:30,JKT,1
KRL00005,04:47:00,04:47:30,JAY,2
KRL00005,04:49:00,04:49:30,MGB,3
KRL00005,04:51:00,04:51:30,SWB,4
KRL00005,04:53:00,04:53:30,JUD,5
KRL00005,04:55:30,04:56:00,GDG,6
KRL00005,04:58:00,04:58:30,CKN,7
KRL00005,05:00:30,05:01:00,MRI,8
KRL00005,05:02:30,05:03:00,TBT,9
KRL00005,05:05:00,05:05:30,CAW,10
KRL00005,05:08:30,05:09:00,PSM,11
KRL00005,05:10:30,05:11:00,PSMB,12
KRL00005,05:12:30,05:13:00,TJB,13
KRL00005,05:14:30,05:15:00,LTA,14
KRL00005,05:16:30,05:17:00,UPM,15
KRL00005,05:19:00,05:19:30,UI,16
KRL00005,05:21:30,05:22:00,PCN,17
KRL00005,05:23:30,05:24:00,DPB,18
KRL00005,05:25:30,05:26:00,DPK,19
KRL00005,05:27:30,05:28:00,CTY,20
KRL00005,05:29:30,05:30:00,BJG,21
KRL00005,05:31:30,05:32:00,CLB,22
KRL00005,05:34:00,05:34:30,BGR,23
KRL00006,04:55:00,04:55:30,JKT,1
KRL00006,04:57:00,04:57:30,JAY,2
KRL00006,04:59:00,04:59:30,MGB,3
KRL00006,05:01:00,05:01:30,SWB,4
KRL00006,05:03:00,05:03:30,JUD,5
KRL00006,05:05:30,05:06:00,GDG,6
KRL00006,05:08:00,05:08:30,CKN,7
KRL00006,05:10:30,05:11:00,MRI,8
KRL00006,05:12:30,05:13:00,TBT,9
KRL00006,05:15:00,05:15:30,CAW,10
KRL00006,05:18:30,05:19:00,PSM,11
KRL00006,05:20:30,05:21:00,PSMB,12
KRL00006,05:22:30,05:23:00,TJB,13
KRL00006,05:24:30,05:25:00,LTA,14
KRL00006,05:26:30,05:27:00,UPM,15
KRL00006,05:29:00,05:29:30,UI,16
KRL00006,05:31:30,05:32:00,PCN,17
KRL00006,05:33:30,05:34:00,DPB,18
KRL00006,05:35:30,05:36:00,DPK,19
KRL00006,05:37:30,05:38:00,CTY,20
KRL00006,05:39:30,05:40:00,BJG,21
KRL00006,05:41:30,05:42:00,CLB,22
KRL00006,05:44:00,05:44:30,BGR,23
KRL00007,05:05:00,05:05:30,JKT,1
KRL00007,05:07:00,05:07:30,JAY,2
KRL00007,05:09:00,05:09:30,MGB,3
KRL00007,05:11:00,05:11:30,SWB,4
KRL00007,05:13:00,05:13:30,JUD,5
KRL00007,05:15:30,05:16:00,GDG,6
KRL00007,05:18:00,05:18:30,CKN,7
KRL00007,05:20:30,05:21:00,MRI,8
KRL00007,05:22:30,05:23:00,TBT,9
KRL00007,05:25:00,05:25:30,CAW,10
KRL00007,05:28:30,05:29:00,PSM,11
KRL00007,05:30:30,05:31:00,PSMB,12
KRL00007,05:32:30,05:33:00,TJB,13
KRL00007,05:34:30,05:35:00,LTA,14
KRL00007,05:36:30,05:37:00,UPM,15
KRL00007,05:39:00,05:39:30,UI,16
