trip_id,arrival_time,departure_time,stop_id,stop_sequence
T0001,05:00:00,05:00:30,M01,1
T0001,05:02:30,05:03:00,M02,2
T0001,05:04:30,05:05:00,M03,3
T0001,05:06:30,05:07:00,M04,4
T0001,05:08:30,05:09:00,M05,5
T0001,05:10:30,05:11:00,M06,6
T0001,05:12:30,05:13:00,M07,7
T0001,05:15:00,05:15:30,M08,8
T0001,05:17:00,05:17:30,M09,9
T0001,05:20:00,05:20:30,M10,10
T0001,05:22:00,05:22:30,M11,11
T0001,05:24:00,05:24:30,M12,12
T0001,05:26:00,05:26:30,M13,13
T0002,05:10:00,05:10:30,M01,1
T0002,05:12:30,05:13:00,M02,2
T0002,05:14:30,05:15:00,M03,3
T0002,05:16:30,05:17:00,M04,4
T0002,05:18:30,05:19:00,M05,5
T0002,05:20:30,05:21:00,M06,6
T0002,05:22:30,05:23:00,M07,7
T0002,05:25:00,05:25:30,M08,8
T0002,05:27:00,05:27:30,M09,9
T0002,05:30:00,05:30:30,M10,10
T0002,05:32:00,05:32:30,M11,11
T0002,05:34:00,05:34:30,M12,12
T0002,05:36:00,05:36:30,M13,13
T0003,05:20:00,05:20:30,M01,1
T0003,05:22:30,05:23:00,M02,2
T0003,05:24:30,05:25:00,M03,3
T0003,05:26:30,05:27:00,M04,4
T0003,05:28:30,05:29:00,M05,5
T0003,05:30:30,05:31:00,M06,6
T0003,05:32:30,05:33:00,M07,7
T0003,05:35:00,05:35:30,M08,8
T0003,05:37:00,05:37:30,M09,9
T0003,05:40:00,05:40:30,M10,10
T0003,05:42:00,05:42:30,M11,11
T0003,05:44:00,05:44:30,M12,12
T0003,05:46:00,05:46:30,M13,13
T0004,05:30:00,05:30:30,M01,1
T0004,05:32:30,05:33:00,M02,2
T0004,05:34:30,05:35:00,M03,3
T0004,05:36:30,05:37:00,M04,4
T0004,05:38:30,05:39:00,M05,5
T0004,05:40:30,05:41:00,M06,6
T0004,05:42:30,05:43:00,M07,7
