route_id,service_id,trip_id,direction_id,trip_headsign
NS,SVC-0001,T0001,1,Bundaran HI
NS,SVC-0002,T0002,1,Bundaran HI
NS,SVC-0003,T0003,1,Bundaran HI
NS,SVC-0004,T0004,1,Bundaran HI
NS,SVC-0005,T0005,1,Bundaran HI
NS,SVC-0006,T0006,1,Bundaran HI
NS,SVC-0007,T0007,1,Bundaran HI
NS,SVC-0008,T0008,1,Bundaran HI
NS,SVC-0009,T0009,1,Bundaran HI
NS,SVC-0010,T0010,1,Bundaran HI
NS,SVC-0011,T0011,1,Bundaran HI
NS,SVC-0012,T0012,1,Bundaran HI
NS,SVC-0013,T0013,1,Bundaran HI
NS,SVC-0014,T0014,1,Bundaran HI
NS,SVC-0015,T0015,1,Bundaran HI
NS,SVC-0016,T0016,1,Bundaran HI
NS,SVC-0017,T0017,1,Bundaran HI
NS,SVC-0018,T0018,1,Bundaran HI
NS,SVC-0019,T0019,1,Bundaran HI
NS,SVC-0020,T0020,1,Bundaran HI
NS,SVC-0021,T0021,1,Bundaran HI
NS,SVC-0022,T0022,1,Bundaran HI
NS,SVC-0023,T0023,1,Bundaran HI
NS,SVC-0024,T0024,1,Bundaran HI
NS,SVC-0025,T0025,1,Bundaran HI
NS,SVC-0026,T0026,1,Bundaran HI
NS,SVC-0027,T0027,1,Bundaran HI
NS,SVC-0028,T0028,1,Bundaran HI
NS,SVC-0029,T0029,1,Bundaran HI
NS,SVC-0030,T0030,1,Bundaran HI
NS,SVC-0031,T0031,1,Bundaran HI
NS,SVC-0032,T0032,1,Bundaran HI
NS,SVC-0033,T0033,1,Bundaran HI
NS,SVC-0034,T0034,1,Bundaran HI
NS,SVC-0035,T0035,1,Bundaran HI
NS,SVC-0036,T0036,1,Bundaran HI
NS,SVC-0037,T0037,1,Bundaran HI
NS,SVC-0038,T0038,1,Bundaran HI
NS,SVC-0039,T0039,1,Bundaran HI
NS,SVC-0040,T0040,1,Bundaran HI
NS,SVC-0041,T0041,1,Bundaran HI
NS,SVC-0042,T0042,1,Bundaran HI
NS,SVC-0043,T0043,1,Bundaran HI
NS,SVC-0044,T0044,1,Bundaran HI
NS,SVC-0045,T0045,1,Bundaran HI
NS,SVC-0046,T0046,1,Bundaran HI
NS,SVC-0047,T0047,1,Bundaran HI
NS,SVC-0048,T0048,1,Bundaran HI
NS,SVC-0049,T0049,1,Bundaran HI
NS,SVC-0050,T0050,1,Bundaran HI
NS,SVC-0051,T0051,1,Bundaran HI
NS,SVC-0052,T0052,1,Bundaran HI
NS,SVC-0053,T0053,1,Bundaran HI
NS,SVC-0054,T0054,1,Bundaran HI
NS,SVC-0055,T0055,1,Bundaran HI
NS,SVC-0056,T0056,1,Bundaran HI
NS,SVC-0057,T0057,1,Bundaran HI
NS,SVC-0058,T0058,1,Bundaran HI
NS,SVC-0059,T0059,1,Bundaran HI
NS,SVC-0060,T0060,1,Bundaran HI
NS,SVC-0061,T0061,1,Bundaran HI
NS,SVC-0062,T0062,1,Bundaran HI
NS,SVC-0063,T0063,1,Bundaran HI
NS,SVC-0064,T0064,1,Bundaran HI
NS,SVC-0065,T0065,1,Bundaran HI
NS,SVC-0066,T0066,1,Bundaran HI
NS,SVC-0067,T0067,1,Bundaran HI
NS,SVC-0068,T0068,1,Bundaran HI
NS,SVC-0069,T0069,1,Bundaran HI
NS,SVC-0070,T0070,1,Bundaran HI
NS,SVC-0071,T0071,1,Bundaran HI
NS,SVC-0072,T0072,1,Bundaran HI
NS,SVC-0073,T0073,1,Bundaran HI
NS,SVC-0074,T0074,1,Bundaran HI
NS,SVC-0075,T0075,1,Bundaran HI
NS,SVC-0076,T0076,1,Bundaran HI
NS,SVC-0077,T0077,1,Bundaran HI
NS,SVC-0078,T0078,1,Bundaran HI
NS,SVC-0079,T0079,1,Bundaran HI
NS,SVC-0080,T0080,1,Bundaran HI
NS,SVC-0081,T0081,1,Bundaran HI
NS,SVC-0082,T0082,1,Bundaran HI
NS,SVC-0083,T0083,1,Bundaran HI
NS,SVC-0084,T0084,1,Bundaran HI
NS,SVC-0085,T0085,1,Bundaran HI
NS,SVC-0086,T0086,1,Bundaran HI
NS,SVC-0087,T0087,1,Bundaran HI
NS,SVC-0088,T0088,1,Bundaran HI
NS,SVC-0089,T0089,1,Bundaran HI
NS,SVC-0090,T0090,1,Bundaran HI
NS,SVC-0091,T0091,1,Bundaran HI
NS,SVC-0092,T0092,1,Bundaran HI
NS,SVC-0093,T0093,1,Bundaran HI
NS,SVC-0094,T0094,1,Bundaran HI
NS,SVC-0095,T0095,1,Bundaran HI
NS,SVC-0096,T0096,1,Bundaran HI
NS,SVC-0097,T0097,1,Bundaran HI
NS,SVC-0098,T0098,1,Bundaran HI
NS,SVC-0099,T0099,1,Bundaran HI
NS,SVC-0100,T0100,1,Bundaran HI
NS,SVC-0101,T0101,1,Bundaran HI
NS,SVC-0102,T0102,1,Bundaran HI
NS,SVC-0103,T0103,1,Bundaran HI
NS,SVC-0104,T0104,1,Bundaran HI
NS,SVC-0105,T0105,1,Bundaran HI
NS,SVC-0106,T0106,1,Bundaran HI
NS,SVC-0107,T0107,1,Bundaran HI
NS,SVC-0108,T0108,1,Bundaran HI
NS,SVC-0109,T0109,1,Bundaran HI
NS,SVC-0110,T0110,0,Lebak Bulus Grab
NS,SVC-0111,T0111,0,Lebak Bulus Grab
NS,SVC-0112,T0112,0,Lebak Bulus Grab
NS,SVC-0113,T0113,0,Lebak Bulus Grab
NS,SVC-0114,T0114,0,Lebak Bulus Grab
NS,SVC-0115,T0115,0,Lebak Bulus Grab
NS,SVC-0116,T0116,0,Lebak Bulus Grab
NS,SVC-0117,T0117,0,Lebak Bulus Grab
NS,SVC-0118,T0118,0,Lebak Bulus Grab
NS,SVC-0119,T0119,0,Lebak Bulus Grab
NS,SVC-0120,T0120,0,Lebak Bulus Grab
NS,SVC-0121,T0121,0,Lebak Bulus Grab
NS,SVC-0122,T0122,0,Lebak Bulus Grab
NS,SVC-0123,T0123,0,Lebak Bulus Grab
NS,SVC-0124,T0124,0,Lebak Bulus Grab
NS,SVC-0125,T0125,0,Lebak Bulus Grab
NS,SVC-0126,T0126,0,Lebak Bulus Grab
NS,SVC-0127,T0127,0,Lebak Bulus Grab
NS,SVC-0128,T0128,0,Lebak Bulus Grab
NS,SVC-0129,T0129,0,Lebak Bulus Grab
NS,SVC-0130,T0130,0,Lebak Bulus Grab
NS,SVC-0131,T0131,0,Lebak Bulus Grab
NS,SVC-0132,T0132,0,Lebak Bulus Grab
NS,SVC-0133,T0133,0,Lebak Bulus Grab
NS,SVC-0134,T0134,0,Lebak Bulus Grab
