trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
10A-L02,0,B03282P,05:00:00,05:00:10,Tanjung Priok,0,0,,,0,
10A-L02,1,B03283P,05:03:01,05:03:11,Tanjung Priok,0,0,,,617.3913304869402,
10A-L02,2,B05078P,05:04:48,05:04:58,Tanjung Priok,0,0,,,969.1478046074532,
10A-L02,3,B06039P,05:07:51,05:08:01,Tanjung Priok,0,0,,,1596.217243295298,
10A-L02,4,B00136P,05:08:46,05:08:56,Tanjung Priok,0,0,,,1760.710745324783,
10A-L02,5,B06790P,05:09:32,05:09:42,Tanjung Priok,,,,,1893.0207300372556,0
10A-L02,6,B05158P,05:10:05,05:10:15,Tanjung Priok,,,,,1976.1781527062108,0
10A-L02,7,B05038P,05:16:10,05:16:20,Tanjung Priok,,,,,3257.775038023429,0
10A-L02,8,B01855P,05:18:29,05:18:39,Tanjung Priok,,,,,3725.1960984757197,0
10A-L02,9,B07449P,05:22:29,05:22:39,Tanjung Priok,0,0,,,4558.307554964118,
10A-L02,10,B06245P,05:24:30,05:24:40,Tanjung Priok,,,,,4960.827079932511,0
10A-L02,11,B06246P,05:26:40,05:26:50,Tanjung Priok,,,,,5396.635073818588,0
10A-L02,12,B01858P,05:28:47,05:28:57,Tanjung Priok,0,0,,,5819.516323142294,
10A-L02,13,B06234P,05:31:06,05:31:16,Tanjung Priok,,,,,6288.6226156490275,0
10A-L02,14,B06235P,05:33:21,05:33:31,Tanjung Priok,,,,,6741.566773847142,0
10A-L02,15,B06162P,05:34:35,05:34:45,Tanjung Priok,,,,,6973.798276015472,0
10A-L02,16,B06163P,05:35:17,05:35:27,Tanjung Priok,,,,,7091.566161839615,0
10A-L02,17,B06257P,05:37:01,05:37:11,Tanjung Priok,,,,,7431.919147011549,0
10A-L02,18,B06164P,05:38:14,05:38:24,Tanjung Priok,,,,,7660.4977679289605,0
10A-L02,19,B06258P,05:41:04,05:41:14,Tanjung Priok,,,,,8239.782062636905,0
10A-L02,20,B06165P,05:41:54,05:42:04,Tanjung Priok,,,,,8385.052808510954,0
10A-L02,21,B04964P,05:42:29,05:42:39,Tanjung Priok,,,,,8476.98709963342,0
10A-L02,22,B02761P,05:43:55,05:44:05,Tanjung Priok,,,,,8752.810016811849,0
10A-L02,23,B02253P,05:46:20,05:46:30,Tanjung Priok,,,,,9241.198341385521,0
10A-L02,24,B03211P,05:47:05,05:47:15,Tanjung Priok,,,,,9370.584942286614,0
10A-L02,25,B01325P,05:47:30,05:47:40,Tanjung Priok,,,,,9426.316472231572,0
10A-L02,26,B01324P,05:48:51,05:49:01,Tanjung Priok,,,,,9683.186188366892,0
10A-L02,27,B01327P,05:49:48,05:49:58,Tanjung Priok,,,,,9852.972983027239,0
10A-L02,28,B01326P,05:50:15,05:50:25,Tanjung Priok,,,,,9917.76070804896,0
10A-L02,29,B00338P,05:52:43,05:52:53,Tanjung Priok,0,0,,,10416.514995350219,
10A-L02,30,B02949P,05:54:27,05:54:37,Tanjung Priok,,,,,10757.098207025656,0
10A-L02,31,B01056P,05:55:43,05:55:53,Tanjung Priok,,,,,10998.209161675886,0
10A-L02,32,B02993P,05:57:37,05:57:47,Tanjung Priok,,,,,11374.30225107753,0
10A-L02,33,B05728P,05:59:18,05:59:28,Tanjung Priok,0,0,,,11706.365605084697,
10A-L02,34,B03236P,06:01:32,06:01:42,Rusun Marunda,,,,,12156.413037244736,0
10A-L02,35,B04231P,06:03:57,06:04:07,Rusun Marunda,,,,,12644.213704078104,0
10A-L02,36,B00339P,06:05:42,06:05:52,Rusun Marunda,,,,,12989.259373625055,0
10A-L02,37,B02953P,06:08:45,06:08:55,Rusun Marunda,,,,,13614.236975730782,0
10A-L02,38,B00717P,06:10:55,06:11:05,Rusun Marunda,,,,,14049.36045482168,0
10A-L02,39,B06160P,06:11:57,06:12:07,Rusun Marunda,,,,,14239.6177469389,0
10A-L02,40,B06237P,06:14:24,06:14:34,Rusun Marunda,,,,,14735.524690081009,0
10A-L02,41,B06238P,06:16:37,06:16:47,Rusun Marunda,,,,,15180.984771663438,0
10A-L02,42,B06240P,06:21:24,06:21:34,Rusun Marunda,,,,,16182.806329681254,0
10A-L02,43,B06161P,06:22:55,06:23:05,Rusun Marunda,,,,,16475.66994789824,0
10A-L02,44,B06199P,06:24:09,06:24:19,Rusun Marunda,,,,,16710.03081441402,0
10A-L02,45,B06200P,06:25:52,06:26:02,Rusun Marunda,,,,,17048.473852937645,0
10A-L02,46,B02170P,06:28:28,06:28:38,Rusun Marunda,,,,,17575.76695043355,0
10A-L02,47,B06248P,06:30:38,06:30:48,Rusun Marunda,,,,,18009.62339954006,0
10A-L02,48,B06249P,06:32:48,06:32:58,Rusun Marunda,,,,,18443.383143943578,0
10A-L02,49,B06250P,06:34:04,06:34:14,Rusun Marunda,,,,,18685.11965197114,0
10A-L02,50,B07450P,06:35:03,06:35:13,Rusun Marunda,,,,,18864.64024797041,0
