stop_id,stop_name,lat,lon,place_id,gmaps_name,rating,user_ratings_total,vicinity
H00189P,Puri Beta 1,-6.230596,106.72602,ChIJO2xKf6jwaS4R7p2cTmzmyM8,Jln. Puri Beta Raya,,,Indonesia
H00091P,JORR,-6.236104,106.75488,ChIJM-n_vsPwaS4R8qTNrGa2gUc,JORR,4.1,162.0,Indonesia
H00050P,Duri Kepa,-6.185266,106.76842,ChIJSd6lUAL3aS4RlzF_TcBx0ek,Duri Kepa 1,2.9,112.0,Indonesia
H00103P,Kebon Jeruk,-6.194311,106.76887,ChIJM564bR73aS4RA9r4J8ybuws,Kebon Jeruk,4.0,290.0,Jalan Panjang No.8
H00102P,Bungur,-6.252688,106.78164,ChIJF5mLkQXxaS4Rlru_2G1Xl58,Bungur,4.0,129.0,"RT.9/RW.1, South Kebayoran Lama"
H00237P,Tanah Kusir,-6.256997,106.78168,ChIJmW5bLQbxaS4R8jopbuJ9I18,Tanah Kusir,4.3,199.0,"RT.1/RW.8, South Kebayoran Lama"
H00083P,Jelambar,-6.166548,106.78651,ChIJr779XUX2aS4ROknXS9P0Aqk,Jelambar,3.7,227.0,"Jalan Daan Mogot RT.8/RW.4, Tanjung Duren Utara"
H00138S,Kali Grogol Arah Utara,-6.160164,106.790684,ChIJj_PFCEH2aS4RQwqBJlMtPZg,Kali Grogol Arah Selatan,3.2,137.0,Indonesia
H00197S,Kali Grogol Arah Selatan,-6.159755,106.791453,ChIJj_PFCEH2aS4RQwqBJlMtPZg,Kali Grogol Arah Selatan,3.2,135.0,Indonesia
H00089P,Jembatan Tiga,-6.133383,106.79267,ChIJ83LbF4sdai4R8M8Ew9v1N5g,Jembatan Tiga,3.5,228.0,"RT.2/RW.16, Penjaringan"
H00204S,Kota Bambu Arah Utara,-6.184489,106.79674,ChIJ-ao1-oz2aS4RnJyfcp_bHGQ,Kota Bambu Arah Utara,4.2,109.0,Indonesia
H00220S,Kemanggisan Arah Utara,-6.189906,106.79694,ChIJzTHl_pL2aS4RhUrNhMzAc8c,Slipi Kemanggisan 1,4.1,170.0,"No.Kav 78, Jalan Letjen. S. Parman, Palmerah, Daerah Khusus Ibukota Jakarta 11410, Indonesia"
H00270P,Ps. Palmerah,-6.207817,106.79695,ChIJgRb2Krj2aS4RvD7KWaKrjdE,Ps. Palmerah,2.3,174.0,Indonesia
H00269P,St. Palmerah,-6.208908,106.79706,ChIJ605Nnbf2aS4Rs5JScSguFSQ,St. Palmerah,4.1,309.0,Indonesia
H00209S,Kota Bambu Arah Selatan,-6.185221,106.79709,ChIJNe7AAI32aS4RDcJcgr76ymU,Kota Bambu Arah Selatan,3.8,171.0,Indonesia
H00224S,Kemanggisan Arah Selatan,-6.189781,106.79726,ChIJMX7mVZL2aS4RVraCvYnUUtA,Kemanggisan Arah Selatan,2.1,186.0,Indonesia
H00014P,Blok M,-6.243312,106.80175,ChIJw_KKNGnxaS4RmnwHCxSLmck,"Blok M, Platform 3",3.8,245.0,Indonesia
H00007P,Bandengan,-6.136318,106.80347,ChIJ-0obgB32aS4Rkd-B6jJajZw,Bandengan,4.0,214.0,"RT.1/RW.11, Pekojan"
H00079P,Transjakarta Tanah Abang 1,-6.185496,106.81105,ChIJ0RVwvYT2aS4RAlUv_UtqCnk,Tanah Abang,4.0,4076.0,"Jalan Jati Baru Raya, Jalan Cideng Timur"
H00093P,Kali Besar,-6.135355,106.81143,ChIJqd-0r_gdai4RbEuO7KDpnQs,Kali Besar Barat 1,4.6,203.0,Indonesia
